98001,1,1352
98001,2,508
98001,3,158
98001,4,62
98001,5,16
98001,6,9
98001,7,3
98001,8,1
98001,9,2
98002,1,1334
98002,2,307
98002,3,53
98002,4,15
98002,5,7
98002,6,1
98003,1,1579
98003,2,472
98003,3,164
98003,4,53
98003,5,17
98003,6,10
98003,7,5
98003,8,1
98004,1,799
98004,2,146
98004,3,28
98004,4,16
98004,5,4
98004,6,1
98004,7,1
98004,8,1
98005,1,408
98005,2,80
98005,3,11
98005,4,9
98005,5,5
98005,6,1
98005,7,3
98006,1,670
98006,2,142
98006,3,49
98006,4,10
98006,5,8
98006,6,2
98006,10,1
98006,14,1
98007,1,622
98007,2,85
98007,3,29
98007,4,6
98007,5,1
98007,6,1
98008,1,515
98008,2,121
98008,3,51
98008,4,7
98008,5,2
98008,6,2
98008,9,1
98010,1,190
98010,2,58
98010,3,18
98010,4,9
98010,5,2
98010,7,1
98011,1,932
98011,2,231
98011,3,34
98011,4,16
98011,5,7
98011,6,1
98011,7,2
98012,1,2551
98012,2,484
98012,3,129
98012,4,32
98012,5,13
98012,6,6
98012,7,1
98012,8,1
98014,1,268
98014,2,73
98014,3,11
98014,4,4
98014,5,2
98014,8,1
98019,1,514
98019,2,105
98019,3,20
98019,4,6
98019,5,1
98019,6,2
98020,1,409
98020,2,74
98020,3,33
98020,4,12
98020,5,3
98020,6,4
98020,7,1
98020,8,1
98021,1,959
98021,2,209
98021,3,45
98021,4,13
98021,5,4
98021,6,2
98021,7,1
98022,1,797
98022,2,219
98022,3,56
98022,4,10
98022,5,5
98022,6,4
98023,1,2702
98023,2,595
98023,3,150
98023,4,50
98023,5,18
98023,6,5
98023,8,1
98024,1,175
98024,2,33
98024,3,16
98024,4,1
98024,5,1
98024,10,1
98026,1,1178
98026,2,295
98026,3,92
98026,4,24
98026,5,15
98026,6,2
98026,7,1
98027,1,836
98027,2,154
98027,3,38
98027,4,13
98027,5,7
98027,6,4
98028,1,890
98028,2,146
98028,3,40
98028,4,12
98028,5,3
98028,6,1
98028,10,1
98029,1,877
98029,2,140
98029,3,25
98029,4,8
98029,5,2
98029,6,1
98030,1,1861
98030,2,435
98030,3,100
98030,4,30
98030,5,11
98030,6,6
98030,8,1
98031,1,1859
98031,2,357
98031,3,92
98031,4,21
98031,5,12
98031,6,3
98031,7,1
98032,1,1136
98032,2,319
98032,3,98
98032,4,25
98032,5,9
98032,6,5
98032,7,4
98032,8,2
98032,9,1
98032,10,1
98032,11,1
98033,1,1174
98033,2,245
98033,3,81
98033,4,32
98033,5,9
98033,6,6
98033,7,3
98033,8,1
98034,1,1961
98034,2,366
98034,3,81
98034,4,25
98034,5,7
98034,6,6
98034,7,1
98034,8,1
98036,1,1330
98036,2,286
98036,3,69
98036,4,27
98036,5,13
98036,6,3
98036,7,3
98037,1,884
98037,2,255
98037,3,63
98037,4,20
98037,5,6
98037,6,2
98038,1,1756
98038,2,382
98038,3,104
98038,4,18
98038,5,7
98038,6,2
98038,7,2
98038,8,1
98039,1,36
98039,2,17
98039,3,8
98039,4,2
98039,6,1
98040,1,236
98040,2,40
98040,3,19
98040,4,7
98040,5,3
98040,6,1
98040,7,1
98042,1,2767
98042,2,582
98042,3,134
98042,4,36
98042,5,14
98042,6,4
98042,7,1
98042,8,1
98042,9,1
98043,1,769
98043,2,185
98043,3,56
98043,4,21
98043,5,10
98043,6,1
98043,7,1
98043,9,1
98045,1,566
98045,2,126
98045,3,31
98045,4,7
98045,5,4
98045,7,1
98047,1,453
98047,2,102
98047,3,30
98047,4,11
98047,5,3
98047,6,2
98050,1,11
98050,2,2
98050,3,1
98051,1,149
98051,2,46
98051,3,2
98051,4,1
98051,5,1
98052,1,1197
98052,2,216
98052,3,45
98052,4,10
98052,5,4
98052,6,1
98053,1,447
98053,2,97
98053,3,19
98053,4,6
98053,5,2
98053,6,1
98055,1,967
98055,2,217
98055,3,70
98055,4,23
98055,5,5
98055,6,1
98055,7,1
98055,8,2
98056,1,1359
98056,2,292
98056,3,81
98056,4,30
98056,5,1
98056,6,4
98056,8,1
98057,1,429
98057,2,132
98057,3,86
98057,4,5
98057,5,3
98057,6,1
98058,1,1688
98058,2,412
98058,3,71
98058,4,22
98058,5,7
98058,6,2
98058,8,2
98059,1,1307
98059,2,268
98059,3,70
98059,4,19
98059,5,4
98059,6,3
98059,9,1
98065,1,692
98065,2,110
98065,3,24
98065,4,12
98065,5,3
98065,6,1
98065,7,2
98068,1,2
98068,3,1
98070,1,266
98070,2,51
98070,3,17
98070,4,8
98070,5,1
98071,1,1
98072,1,728
98072,2,159
98072,3,48
98072,4,7
98072,5,7
98072,6,2
98074,1,580
98074,2,108
98074,3,28
98074,4,10
98074,5,3
98074,7,2
98075,1,350
98075,2,84
98075,3,39
98075,4,4
98075,5,3
98075,6,1
98077,1,320
98077,2,68
98077,3,14
98077,4,9
98077,5,6
98077,6,1
98083,1,1
98087,1,1413
98087,2,293
98087,3,77
98087,4,26
98087,5,12
98087,6,4
98087,7,1
98087,10,1
98092,1,2402
98092,2,508
98092,3,120
98092,4,36
98092,5,9
98092,6,1
98101,1,144
98101,2,37
98101,3,7
98101,4,3
98101,5,1
98101,6,5
98101,7,1
98102,1,317
98102,2,74
98102,3,24
98102,4,7
98102,5,2
98102,7,1
98103,1,629
98103,2,163
98103,3,49
98103,4,11
98103,5,4
98103,6,1
98103,7,1
98104,1,109
98104,2,34
98104,3,6
98104,4,1
98104,5,1
98105,1,201
98105,2,29
98105,3,6
98105,4,5
98105,5,2
98106,1,1129
98106,2,195
98106,3,52
98106,4,14
98106,5,4
98106,6,1
98106,7,1
98107,1,335
98107,2,44
98107,3,11
98107,4,4
98107,5,2
98107,6,1
98108,1,470
98108,2,149
98108,3,43
98108,4,17
98108,5,5
98108,6,4
98108,7,1
98108,9,1
98109,1,476
98109,2,110
98109,3,36
98109,4,5
98109,5,2
98109,6,2
98109,9,1
98112,1,192
98112,2,54
98112,3,28
98112,4,6
98112,5,1
98112,6,2
98114,1,4
98115,1,609
98115,2,105
98115,3,27
98115,4,6
98115,5,2
98115,6,2
98115,7,2
98116,1,555
98116,2,116
98116,3,36
98116,4,9
98116,5,1
98116,6,2
98117,1,416
98117,2,96
98117,3,29
98117,4,9
98117,5,2
98117,6,1
98117,7,1
98118,1,1182
98118,2,351
98118,3,130
98118,4,45
98118,5,19
98118,6,11
98118,7,1
98118,8,2
98118,11,1
98119,1,354
98119,2,94
98119,3,29
98119,4,12
98119,5,1
98119,6,2
98121,1,345
98121,2,91
98121,3,25
98121,4,9
98121,5,2
98121,6,1
98122,1,543
98122,2,159
98122,3,64
98122,4,19
98122,5,7
98122,6,8
98122,8,1
98125,1,780
98125,2,153
98125,3,37
98125,4,10
98125,5,3
98125,6,2
98125,7,1
98125,8,1
98125,9,1
98126,1,660
98126,2,148
98126,3,34
98126,4,9
98126,5,2
98127,1,5
98133,1,894
98133,2,271
98133,3,89
98133,4,37
98133,5,11
98133,6,4
98133,7,1
98134,1,16
98134,2,2
98136,1,279
98136,2,65
98136,3,15
98136,4,4
98136,6,1
98136,7,1
98144,1,542
98144,2,141
98144,3,55
98144,4,17
98144,5,9
98144,6,3
98144,7,2
98144,11,1
98146,1,1039
98146,2,224
98146,3,51
98146,4,15
98146,5,7
98146,6,1
98148,1,255
98148,2,82
98148,3,27
98148,4,11
98148,5,6
98148,6,2
98155,1,1021
98155,2,215
98155,3,60
98155,4,17
98155,5,9
98155,6,2
98164,1,5
98164,2,2
98166,1,718
98166,2,118
98166,3,42
98166,4,14
98166,5,3
98168,1,1292
98168,2,454
98168,3,152
98168,4,69
98168,5,14
98168,6,6
98168,7,3
98168,8,1
98168,9,1
98177,1,299
98177,2,77
98177,3,26
98177,4,7
98177,5,2
98177,6,2
98178,1,1022
98178,2,307
98178,3,106
