zip,city,state,county,units_2014,fc_2016,fc_2015,fc_2014,fc_2013,fc_2012,fc_2011,fc_2010,fc_2009,fc_2008
98241,Darrington,Washington,Snohomish,1082,16,15,14,27,36,23,24,12,6
98251,Gold Bar,Washington,Snohomish,2130,25,36,41,79,60,52,66,51,34
98252,Granite Falls,Washington,Snohomish,3940,38,61,67,134,136,91,131,117,70
98256,Index,Washington,Snohomish,481,,,4,4,2,3,2,0,
98258,Lake Stevens,Washington,Snohomish,11508,130,187,192,381,360,369,346,242,135
98259,North Lakewood,Washington,Snohomish,0,,1,,0,0,0,0,0,
98270,Marysville,Washington,Snohomish,17840,159,194,218,450,458,435,531,397,240
98271,Marysville,Washington,Snohomish,10786,91,137,143,200,208,220,269,189,151
98272,Monroe,Washington,Snohomish,9402,78,84,125,223,231,235,339,220,133
98275,Mukilteo,Washington,Snohomish,8327,35,39,49,92,105,155,158,119,42
98287,Silvana,Washington,Snohomish,0,,,,1,0,0,0,0,
98288,Skykomish,Washington,King,408,2,7,9,5,2,2,1,1,2
98290,Snohomish,Washington,Snohomish,13417,86,111,116,208,231,240,325,258,120
98291,Snohomish,Washington,Snohomish,0,,,,0,0,1,0,0,
98292,Stanwood,Washington,Snohomish,9099,67,83,112,168,168,173,212,139,69
98293,Startup,Washington,Snohomish,0,,,,0,2,0,1,0,
98294,Sultan,Washington,Snohomish,2709,47,36,52,85,87,85,115,98,45
98296,Snohomish,Washington,Snohomish,10090,57,61,61,122,162,150,186,164,83
98303,Anderson Island,Washington,Pierce,1196,8,17,17,20,15,14,22,22,30
98304,Ashford,Washington,Pierce,782,3,5,8,13,8,6,6,2,9
98321,Buckley,Washington,Pierce,5229,71,105,85,152,144,135,149,99,81
98323,Carbonado,Washington,Pierce,254,2,7,7,12,7,5,7,7,7
98327,Dupont,Washington,Pierce,3392,23,42,35,49,47,29,43,35,28
98328,Eatonville,Washington,Pierce,4354,55,62,62,114,81,79,108,96,76
98329,Gig Harbor,Washington,Pierce,4139,54,95,100,118,89,96,135,137,140
98330,Elbe,Washington,Pierce,131,1,,,1,1,0,1,0,2
98332,Gig Harbor,Washington,Pierce,6388,42,56,40,112,75,72,133,106,79
98333,Fox Island,Washington,Pierce,1548,8,13,12,16,13,22,38,27,22
98335,Gig Harbor,Washington,Pierce,10591,54,101,77,163,138,98,156,210,206
98338,Graham,Washington,Pierce,9248,120,190,198,277,228,203,273,244,197
98344,Kapowsin,Washington,Pierce,0,,,,1,0,0,1,0,
98348,La Grande,Washington,Pierce,0,,,,0,0,0,0,0,
98349,Lakebay,Washington,Pierce,2559,53,62,39,79,51,57,103,76,63
98351,Longbranch,Washington,Pierce,643,4,7,14,14,12,12,20,10,16
98352,Sumner,Washington,Pierce,0,1,,,0,0,3,1,0,
98354,Milton,Washington,Pierce,2944,27,24,34,79,69,60,65,50,36
98360,Orting,Washington,Pierce,4389,93,122,120,216,205,142,218,167,171
98371,Puyallup,Washington,Pierce,8508,59,78,127,126,117,113,134,136,108
98372,Puyallup,Washington,Pierce,9772,78,99,104,168,133,150,170,154,123
98373,Puyallup,Washington,Pierce,9489,79,127,137,213,195,180,226,199,146
98374,Puyallup,Washington,Pierce,14256,162,241,205,397,336,321,422,331,299
98375,Puyallup,Washington,Pierce,9930,135,198,203,383,307,320,445,421,529
98385,South Prairie,Washington,Pierce,144,3,3,2,5,4,6,5,4,4
98387,Spanaway,Washington,Pierce,15986,316,441,368,622,540,448,590,650,476
98388,Steilacoom,Washington,Pierce,2879,9,14,14,29,24,18,25,24,17
98390,Sumner,Washington,Pierce,4518,51,42,55,112,70,71,67,70,61
98391,BONNEY LAKE,Washington,PIERCE,16393,216,268,322,497,479,415,521,556,471
98394,Vaughn,Washington,Pierce,770,3,8,14,9,5,5,12,12,20
98395,Wauna,Washington,Pierce,0,,,,0,0,0,0,0,
98396,Wilkeson,Washington,Pierce,253,2,4,2,3,3,2,3,1,
98397,Longmire,Washington,Pierce,0,,,,0,0,0,0,0,
98398,Paradise Inn,Washington,Pierce,0,,,,0,0,0,0,0,
98401,Tacoma,Washington,Pierce,0,4,3,1,0,2,0,0,0,
98402,Tacoma,Washington,Pierce,3868,18,23,18,39,58,30,49,30,19
98403,Tacoma,Washington,Pierce,4648,21,19,40,42,48,33,57,50,43
98404,Tacoma,Washington,Pierce,11800,224,264,255,392,337,301,478,450,485
98405,Tacoma,Washington,Pierce,10381,104,163,200,275,208,217,329,328,290
98406,Tacoma,Washington,Pierce,9870,55,81,71,141,118,112,140,119,113
98407,Tacoma,Washington,Pierce,9463,55,92,87,127,124,117,159,127,100
98408,Tacoma,Washington,Pierce,7777,110,177,213,266,249,199,257,240,222
98409,Tacoma,Washington,Pierce,10149,119,164,174,309,229,189,236,267,241
98411,Tacoma,Washington,Pierce,0,,,1,0,1,0,0,0,
98412,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98413,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98415,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98416,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98417,Tacoma,Washington,Pierce,0,,,,,,,,,
98418,Tacoma,Washington,Pierce,4180,55,91,99,176,139,95,130,150,135
98419,Tacoma,Washington,Pierce,0,,,,,,,,,
98421,Tacoma,Washington,Pierce,0,,1,2,2,2,0,3,3,
98422,Tacoma,Washington,Pierce,7830,46,107,103,166,124,118,206,185,156
98424,Tacoma,Washington,Pierce,4148,54,51,67,107,109,118,143,165,61
98430,Camp Murray,Washington,Pierce,4,,,,0,0,0,0,0,
98431,Tacoma,Washington,Pierce,0,,,,0,0,1,0,0,
98433,Tacoma,Washington,Pierce,4105,,,,0,0,0,0,0,
98438,Mcchord AFB,Washington,Pierce,8,,,,1,0,0,0,0,
98439,Lakewood,Washington,Pierce,2051,4,4,,1,5,1,4,1,2
98442,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98443,Tacoma,Washington,Pierce,2300,16,26,29,38,34,27,37,34,26
98444,Tacoma,Washington,Pierce,13747,134,160,192,269,242,192,269,254,230
98445,Tacoma,Washington,Pierce,11808,155,241,247,352,306,241,368,331,245
98446,Tacoma,Washington,Pierce,3969,50,65,66,115,94,81,121,94,77
98447,Tacoma,Washington,Pierce,0,,,,0,0,0,1,1,
98448,Tacoma,Washington,Pierce,0,,,,,,,,,
98450,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98455,Tacoma,Washington,Pierce,0,,,1,0,0,0,0,0,
98460,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98464,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98465,Tacoma,Washington,Pierce,3340,16,16,26,51,42,29,40,30,29
98466,Tacoma,Washington,Pierce,12051,58,82,101,154,114,102,159,136,116
98467,University Place,Washington,Pierce,6563,31,33,64,71,54,66,86,67,72
98471,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98477,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98481,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98490,Tacoma,Washington,Pierce,0,,,,,,,,,
98492,Lakewood,Washington,Pierce,0,,,,0,0,0,0,0,
98493,Tacoma,Washington,Pierce,0,,,,0,0,0,0,0,
98496,Lakewood,Washington,Pierce,0,,,,,,,,,
98497,Lakewood,Washington,Pierce,0,,,,0,0,0,0,0,
98498,Lakewood,Washington,Pierce,12547,121,150,136,196,164,148,220,175,336
98499,Lakewood,Washington,Pierce,14009,82,117,96,155,153,169,173,141,173
98558,Mckenna,Washington,Pierce,86,,2,3,4,0,2,1,0,
98580,Roy,Washington,Pierce,4286,53,92,80,123,92,82,119,97,81
